id|image|name|region|state|description
0|300px-American_Chop_Suey.jpg|American chop suey|Northeast|New England and Northeastern United States|An American dish of elbow macaroni, ground beef, tomato sauce, seasonings, and sometimes grated cheese.
1|300px-Goulash_from_usa_salvaged.jpg|American goulash|Multiple|Midwestern United States and Southern United States|A dish that is similar to American chop suey, consisting of pasta (such as macaroni or egg noodles), ground beef, tomatoes or tomato sauce, and seasonings. Some variations include cheese.
2|300px-Arizona_Cheese_Crisp.jpg|Arizona cheese crisp|Southwest|Arizona|An open-faced flour tortilla with grated cheese and sometimes additional ingredients on top, baked until both the tortilla and the cheese are crisp.
3|300px-Barbecue_spaghetti.jpg|Barbecue spaghetti|South|Memphis, Tennessee|Spaghetti noodles topped with a sauce made from smoked pork, vegetables, and barbecue sauce.
4|300px-American_biscuits_and_gravy.jpg|Biscuits and gravy|South|Southern United States|Soft dough biscuits, generally split into halves and covered in either sawmill or sausage gravy.
5|300px-Tacos-with-rice-and-borracho-beans.jpg|Borracho beans|Southwest|Texas|Pinto beans cooked with beer, pork or bacon, and spices such as onions, garlic, and jalapeño peppers. A Tex-Mex dish; the name means "drunken beans".
6|300px-Boston_Baked_Beans_in_Concord%2C_Mass_2012-0193.jpg|Boston baked beans|Northeast|Boston, Massachusetts|A variety of baked beans, typically sweetened with molasses or maple syrup and flavored with salt pork or bacon.
7|300px-Cheese-straws-01.jpg|Cheese straws|South|Southern United States|A savory biscuit-like snack made with flour, butter, salt, cheddar cheese, and cayenne pepper; sometimes the dough is extruded through a cookie press before being baked
8|300px-Chili_burger_%28cropped%29.jpg|Chili burger|West|Los Angeles|Also known as a chili size. A hamburger (or cheeseburger) topped with chili con carne.
9|300px-2010-02-14_Giant_steak_chimichanga_at_Cosmic_Cantina.jpg|Chimichanga|Southwest|Arizona|A deep-fried burrito, usually made with a flour tortilla and various fillings such as beans, rice, cheese, and some type of meat.
10|300px-Kegchislicsmall.jpg|Chislic|Midwest|South Dakota|Small cubes of mutton (or sometimes beef, pork, or venison), deep-fried and served on skewers or toothpicks.
